Fecha,Hora,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag
30-10-2018,24:00,0.5,V,66,V,16,V,0.1,V,0.1,V
31-10-2018,24:00,,N,,N,,N,,N,,N
01-11-2018,24:00,0.3,V,73,V,23,V,0.1,V,0.1,V
02-11-2018,24:00,,N,,N,,N,,N,,N
03-11-2018,24:00,0.2,V,71,V,32,V,0.1,V,0.1,V
04-11-2018,24:00,0.2,V,70,V,19,V,0.1,V,0.1,V
05-11-2018,24:00,0.3,V,68,V,11,V,0.1,V,0.1,V
06-11-2018,24:00,0.3,V,80,V,22,V,0.1,V,0.1,V
07-11-2018,24:00,0.3,V,80,V,15,V,0.1,V,0.1,V
08-11-2018,24:00,0.3,V,74,V,14,V,0.1,V,0.1,V
09-11-2018,24:00,,N,,N,,N,,N,,N
10-11-2018,24:00,0.3,V,78,V,21,V,0.1,V,0.1,V
11-11-2018,24:00,0.3,V,73,V,15,V,0.1,V,0.1,V
12-11-2018,24:00,0.4,V,66,V,14,V,0.1,V,0.1,V
13-11-2018,24:00,0.3,V,76,V,20,V,0.1,V,0.1,V
14-11-2018,24:00,0.5,V,73,V,23,V,0.1,V,0.1,V
15-11-2018,24:00,,N,63,V,19,V,0.1,V,0.1,V
16-11-2018,24:00,,N,,N,,N,,N,,N
17-11-2018,24:00,0.7,V,71,V,22,V,0.1,V,0.1,V
18-11-2018,24:00,0.5,V,77,V,23,V,0.1,V,0.1,V
19-11-2018,24:00,0.6,V,68,V,15,V,0.1,V,0.2,V
20-11-2018,24:00,0.8,V,70,V,17,V,0.1,V,0.1,V
21-11-2018,24:00,0.5,V,65,V,17,V,0.1,V,0.1,V
22-11-2018,24:00,0.7,V,59,V,14,V,0.1,V,0.1,V
23-11-2018,24:00,,N,,N,,N,,N,,N
24-11-2018,24:00,0.8,V,67,V,14,V,0.1,V,0.1,V
25-11-2018,24:00,0.4,V,64,V,14,V,0.1,V,0.1,V
26-11-2018,24:00,0.4,V,54,V,19,V,0.1,V,0.1,V
27-11-2018,24:00,0.4,V,68,V,32,V,0.1,V,0.1,V
28-11-2018,24:00,0.5,V,57,V,26,V,0.1,V,0.1,V
29-11-2018,24:00,0.7,V,62,V,20,V,0.1,V,0.1,V
30-11-2018,24:00,,N,,N,,N,,N,,N
01-12-2018,24:00,0.3,V,67,V,14,V,0.1,V,0.1,V
02-12-2018,24:00,0.5,V,72,V,26,V,0.1,V,0.1,V
03-12-2018,24:00,0.6,V,66,V,28,V,0.1,V,0.1,V
04-12-2018,24:00,0.8,V,46,V,34,V,0.1,V,0.1,V
05-12-2018,24:00,,N,,N,,N,,N,,N
06-12-2018,24:00,0.6,V,3,V,43,V,0.1,V,0.1,V
07-12-2018,24:00,0.7,V,38,V,38,V,0.1,V,0.1,V
08-12-2018,24:00,0.6,V,74,V,42,V,0.1,V,0.1,V
09-12-2018,24:00,0.8,V,71,V,42,V,0.1,V,0.1,V
