Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag
10-04-2016,24:00,87,V,,N,,N,,N,3,V
11-04-2016,24:00,,N,,N,,N,,N,,N
12-04-2016,24:00,,N,,N,,N,,N,,N
13-04-2016,24:00,81,V,,N,,N,,N,3,V
14-04-2016,24:00,76,V,,N,,N,,N,2,V
15-04-2016,24:00,64,V,,N,,N,,N,3,V
16-04-2016,24:00,60,V,,N,,N,,N,3,V
17-04-2016,24:00,54,V,,N,,N,,N,5,V
18-04-2016,24:00,62,V,,N,,N,,N,3,V
19-04-2016,24:00,80,V,,N,,N,,N,3,V
20-04-2016,24:00,74,V,,N,,N,,N,3,V
21-04-2016,24:00,80,V,,N,,N,,N,3,V
22-04-2016,24:00,67,V,,N,,N,,N,3,V
23-04-2016,24:00,66,V,,N,,N,,N,2,V
24-04-2016,24:00,80,V,,N,,N,,N,2,V
25-04-2016,24:00,77,V,,N,,N,,N,3,V
26-04-2016,24:00,85,V,,N,,N,,N,4,V
27-04-2016,24:00,83,V,,N,,N,,N,5,V
28-04-2016,24:00,73,V,,N,,N,,N,4,V
29-04-2016,24:00,62,V,,N,,N,,N,3,V
30-04-2016,24:00,70,V,,N,,N,,N,4,V
01-05-2016,24:00,89,V,,N,,N,,N,7,V
02-05-2016,24:00,97,V,,N,,N,,N,8,V
03-05-2016,24:00,92,V,,N,,N,,N,7,V
04-05-2016,24:00,86,V,,N,,N,,N,6,V
05-05-2016,24:00,93,V,,N,,N,,N,,N
06-05-2016,24:00,90,V,,N,,N,,N,,N
07-05-2016,24:00,75,V,,N,,N,,N,3,V
08-05-2016,24:00,69,V,,N,,N,,N,,N
09-05-2016,24:00,74,V,,N,,N,,N,,N
10-05-2016,24:00,83,V,,N,,N,,N,,N
11-05-2016,24:00,87,V,,N,,N,,N,4,V
12-05-2016,24:00,74,V,,N,,N,,N,7,V
13-05-2016,24:00,80,V,,N,,N,,N,8,V
14-05-2016,24:00,83,V,,N,,N,,N,,N
15-05-2016,24:00,96,V,,N,,N,,N,10,V
16-05-2016,24:00,,N,,N,,N,,N,,N
17-05-2016,24:00,105,V,,N,,N,,N,,N
18-05-2016,24:00,76,V,,N,,N,,N,,N
19-05-2016,24:00,78,V,,N,,N,,N,,N
20-05-2016,24:00,79,V,,N,,N,,N,,N
21-05-2016,24:00,71,V,,N,,N,,N,,N
22-05-2016,24:00,63,V,,N,,N,,N,,N
23-05-2016,24:00,50,V,,N,,N,,N,,N
24-05-2016,24:00,45,V,,N,,N,,N,,N
25-05-2016,24:00,59,V,,N,,N,,N,,N
26-05-2016,24:00,,N,,N,,N,,N,,N
27-05-2016,24:00,62,V,,N,,N,,N,,N
28-05-2016,24:00,74,V,,N,,N,,N,5,V
29-05-2016,24:00,81,V,,N,,N,,N,6,V
30-05-2016,24:00,91,V,,N,,N,,N,,N
31-05-2016,24:00,87,V,,N,,N,,N,,N
01-06-2016,24:00,75,V,,N,,N,,N,,N
02-06-2016,24:00,70,V,,N,,N,,N,,N
03-06-2016,24:00,60,V,,N,,N,,N,,N
04-06-2016,24:00,65,V,,N,,N,,N,,N
05-06-2016,24:00,57,V,,N,,N,,N,,N
06-06-2016,24:00,50,V,,N,,N,,N,,N
07-06-2016,24:00,52,V,,N,,N,,N,,N
08-06-2016,24:00,65,V,,N,,N,,N,,N
09-06-2016,24:00,44,V,,N,,N,,N,,N
10-06-2016,24:00,41,V,,N,,N,,N,2,V
11-06-2016,24:00,71,V,,N,,N,,N,3,V
12-06-2016,24:00,59,V,,N,,N,,N,3,V
13-06-2016,24:00,61,V,,N,,N,,N,2,V
14-06-2016,24:00,32,V,,N,,N,,N,2,V
15-06-2016,24:00,29,V,,N,,N,,N,0,V
16-06-2016,24:00,60,V,,N,,N,,N,2,V
17-06-2016,24:00,58,V,,N,,N,,N,3,V
18-06-2016,24:00,66,V,,N,,N,,N,3,V
19-06-2016,24:00,72,V,,N,,N,,N,5,V
20-06-2016,24:00,74,V,,N,,N,,N,5,V
21-06-2016,24:00,79,V,,N,,N,,N,5,V
22-06-2016,24:00,66,V,,N,,N,,N,4,V
23-06-2016,24:00,64,V,,N,,N,,N,8,V
24-06-2016,24:00,63,V,,N,,N,,N,9,V
25-06-2016,24:00,62,V,,N,,N,,N,,N
26-06-2016,24:00,75,V,,N,,N,,N,,N
27-06-2016,24:00,73,V,,N,,N,,N,,N
28-06-2016,24:00,73,V,,N,,N,,N,,N
29-06-2016,24:00,67,V,,N,,N,,N,,N
30-06-2016,24:00,60,V,,N,,N,,N,,N
01-07-2016,24:00,56,V,,N,,N,,N,6,V
02-07-2016,24:00,63,V,,N,,N,,N,6,V
03-07-2016,24:00,60,V,,N,,N,,N,6,V
04-07-2016,24:00,58,V,,N,,N,,N,6,V
05-07-2016,24:00,50,V,,N,,N,,N,4,V
06-07-2016,24:00,49,V,,N,,N,,N,5,V
07-07-2016,24:00,58,V,,N,,N,,N,,N
08-07-2016,24:00,66,V,,N,,N,,N,,N
09-07-2016,24:00,74,V,,N,,N,,N,,N
10-07-2016,24:00,55,V,,N,,N,,N,,N
11-07-2016,24:00,40,V,,N,,N,,N,,N
12-07-2016,24:00,,N,,N,,N,,N,,N
13-07-2016,24:00,67,V,,N,,N,,N,11,V
14-07-2016,24:00,81,V,,N,,N,,N,11,V
15-07-2016,24:00,90,V,,N,,N,,N,10,V
16-07-2016,24:00,99,V,,N,,N,,N,9,V
17-07-2016,24:00,84,V,,N,,N,,N,10,V
18-07-2016,24:00,88,V,,N,,N,,N,,N
19-07-2016,24:00,67,V,,N,,N,,N,,N
20-07-2016,24:00,54,V,,N,,N,,N,,N
21-07-2016,24:00,63,V,,N,,N,,N,,N
22-07-2016,24:00,50,V,,N,,N,,N,,N
23-07-2016,24:00,59,V,,N,,N,,N,7,V
24-07-2016,24:00,75,V,,N,,N,,N,9,V
25-07-2016,24:00,78,V,,N,,N,,N,12,V
26-07-2016,24:00,71,V,,N,,N,,N,13,V
27-07-2016,24:00,73,V,,N,,N,,N,11,V
28-07-2016,24:00,59,V,,N,,N,,N,8,V
29-07-2016,24:00,51,V,,N,,N,,N,6,V
30-07-2016,24:00,47,V,,N,,N,,N,5,V
31-07-2016,24:00,58,V,,N,,N,,N,8,V
01-08-2016,24:00,49,V,,N,,N,,N,8,V
02-08-2016,24:00,51,V,,N,,N,,N,8,V
03-08-2016,24:00,53,V,,N,,N,,N,9,V
04-08-2016,24:00,59,V,,N,,N,,N,12,V
05-08-2016,24:00,63,V,,N,,N,,N,13,V
06-08-2016,24:00,59,V,,N,,N,,N,10,V
07-08-2016,24:00,75,V,,N,,N,,N,10,V
08-08-2016,24:00,67,V,,N,,N,,N,10,V
09-08-2016,24:00,74,V,,N,,N,,N,12,V
10-08-2016,24:00,90,V,,N,,N,,N,10,V
11-08-2016,24:00,78,V,,N,,N,,N,14,V
12-08-2016,24:00,82,V,,N,,N,,N,11,V
13-08-2016,24:00,91,V,,N,,N,,N,13,V
14-08-2016,24:00,95,V,,N,,N,,N,11,V
15-08-2016,24:00,81,V,,N,,N,,N,14,V
16-08-2016,24:00,70,V,,N,,N,,N,14,V
17-08-2016,24:00,72,V,,N,,N,,N,12,V
18-08-2016,24:00,39,V,,N,,N,,N,9,V
19-08-2016,24:00,43,V,,N,,N,,N,6,V
20-08-2016,24:00,31,V,,N,,N,,N,7,V
21-08-2016,24:00,55,V,,N,,N,,N,8,V
22-08-2016,24:00,49,V,,N,,N,,N,8,V
23-08-2016,24:00,55,V,,N,,N,,N,6,V
24-08-2016,24:00,69,V,,N,,N,,N,6,V
25-08-2016,24:00,66,V,0.3,V,0.2,V,0.3,V,5,V
26-08-2016,24:00,54,V,0.3,V,0.2,V,1.6,V,7,V
27-08-2016,24:00,63,V,0.3,V,0.2,V,0.3,V,10,V
28-08-2016,24:00,63,V,0.3,V,0.2,V,0.5,V,12,V
29-08-2016,24:00,57,V,0.4,V,0.2,V,0.9,V,13,V
30-08-2016,24:00,56,V,0.2,V,0.2,V,0.5,V,8,V
31-08-2016,24:00,57,V,0.2,V,0.2,V,0.5,V,7,V
01-09-2016,24:00,61,V,0.2,V,0.2,V,0.5,V,5,V
02-09-2016,24:00,72,V,0.2,V,0.2,V,0.5,V,8,V
03-09-2016,24:00,65,V,0.2,V,0.2,V,0.4,V,9,V
04-09-2016,24:00,68,V,0.2,V,0.2,V,0.3,V,7,V
05-09-2016,24:00,63,V,0.2,V,0.2,V,0.3,V,10,V
06-09-2016,24:00,67,V,0.2,V,0.2,V,0.4,V,9,V
07-09-2016,24:00,65,V,0.2,V,0.2,V,0.4,V,8,V
08-09-2016,24:00,55,V,0.2,V,0.2,V,0.3,V,9,V
09-09-2016,24:00,58,V,0.2,V,0.2,V,0.3,V,6,V
10-09-2016,24:00,63,V,0.2,V,0.2,V,0.3,V,5,V
11-09-2016,24:00,58,V,0.2,V,0.2,V,0.2,V,4,V
12-09-2016,24:00,47,V,0.2,V,0.2,V,1.7,V,3,V
13-09-2016,24:00,36,V,0.2,V,0.2,V,0.4,V,3,V
14-09-2016,24:00,57,V,0.2,V,0.2,V,0.3,V,3,V
15-09-2016,24:00,60,V,0.2,V,0.2,V,4.2,V,4,V
16-09-2016,24:00,63,V,0.2,V,0.2,V,0.3,V,5,V
17-09-2016,24:00,65,V,0.2,V,0.2,V,0.3,V,6,V
18-09-2016,24:00,77,V,0.2,V,0.2,V,0.3,V,6,V
19-09-2016,24:00,70,V,0.2,V,0.2,V,0.5,V,7,V
