Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag
01-07-2011,24:00,68,V,0.4,V,2.6,V,2,V,60,V
02-07-2011,24:00,84,V,0.3,V,0.9,V,1.7,V,44,V
03-07-2011,24:00,85,V,0.3,V,0.2,V,1.6,V,26,V
04-07-2011,24:00,77,V,0.3,V,0.4,V,1.7,V,34,V
05-07-2011,24:00,,M,,M,,M,,M,26,V
06-07-2011,24:00,61,V,0.3,V,4.1,V,0.4,V,28,V
07-07-2011,24:00,62,V,0.3,V,4.1,V,0.5,V,25,V
08-07-2011,24:00,74,V,0.3,V,4.2,V,0.5,V,29,V
09-07-2011,24:00,60,V,0.3,V,4.3,V,0.6,V,24,V
10-07-2011,24:00,64,V,0.3,V,3.9,V,0.5,V,24,V
11-07-2011,24:00,53,V,0.3,V,4,V,0.5,V,18,V
12-07-2011,24:00,47,V,0.3,V,4,V,0.5,V,16,V
13-07-2011,24:00,62,V,0.3,V,3.8,V,0.3,V,27,V
14-07-2011,24:00,78,V,0.3,V,4.2,V,0.5,V,34,V
15-07-2011,24:00,71,V,0.3,V,4.1,V,0.6,V,36,V
16-07-2011,24:00,81,V,0.3,V,3.6,V,0.4,V,26,V
17-07-2011,24:00,51,V,0.3,V,3.6,V,0.4,V,14,V
18-07-2011,24:00,53,V,0.3,V,3.7,V,0.3,V,13,V
19-07-2011,24:00,48,V,0.3,V,4,V,0.4,V,15,V
20-07-2011,24:00,61,V,0.3,V,3.9,V,0.3,V,19,V
21-07-2011,24:00,63,V,0.3,V,3.6,V,0.3,V,25,V
22-07-2011,24:00,62,V,0.3,V,3.8,V,0.3,V,20,V
23-07-2011,24:00,80,V,0.3,V,3.5,V,0.2,V,17,V
24-07-2011,24:00,76,V,0.3,V,3.4,V,0.2,V,16,V
25-07-2011,24:00,81,V,0.3,V,4.1,V,0.3,V,20,V
26-07-2011,24:00,66,V,0.3,V,4,V,0.3,V,24,V
