Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag
18-05-2014,24:00,113,V,0.2,V,1,V,36,V,0.2,V
19-05-2014,24:00,102,V,0.2,V,1.2,V,28,V,0.2,V
20-05-2014,24:00,99,V,0.2,V,1.1,V,23,V,0.2,V
21-05-2014,24:00,94,V,0.3,V,1.2,V,26,V,0.2,V
22-05-2014,24:00,90,V,0.2,V,0.9,V,19,V,0.2,V
23-05-2014,24:00,83,V,0.2,V,1,V,19,V,0.2,V
24-05-2014,24:00,111,V,0.2,V,0.8,V,18,V,0.2,V
25-05-2014,24:00,99,V,0.2,V,0.9,V,19,V,0.2,V
26-05-2014,24:00,90,V,0.2,V,1.1,V,21,V,0.2,V
27-05-2014,24:00,89,V,0.2,V,1,V,21,V,0.2,V
28-05-2014,24:00,69,V,0.3,V,,N,22,V,0.2,V
29-05-2014,24:00,55,V,0.2,V,0.1,V,32,V,0.2,V
30-05-2014,24:00,51,V,0.2,V,0.2,V,26,V,0.2,V
31-05-2014,24:00,81,V,0.2,V,0.3,V,27,V,0.2,V
01-06-2014,24:00,87,V,0.2,V,0.2,V,27,V,0.2,V
02-06-2014,24:00,98,V,0.2,V,0.3,V,36,V,0.2,V
03-06-2014,24:00,93,V,0.2,V,0.3,V,32,V,0.2,V
04-06-2014,24:00,75,V,0.2,V,0.5,V,22,V,0.2,V
05-06-2014,24:00,65,V,0.2,V,0.5,V,12,V,0.2,V
06-06-2014,24:00,43,V,0.2,V,0.4,V,8,V,0.2,V
07-06-2014,24:00,38,V,0.2,V,0.5,V,8,V,0.2,V
08-06-2014,24:00,58,V,0.2,V,0.3,V,11,V,0.2,V
09-06-2014,24:00,69,V,0.2,V,0.3,V,17,V,0.2,V
10-06-2014,24:00,54,V,0.2,V,0.3,V,20,V,0.2,V
11-06-2014,24:00,64,V,0.2,V,0.3,V,28,V,0.2,V
12-06-2014,24:00,64,V,0.2,V,0.3,V,26,V,0.2,V
13-06-2014,24:00,89,V,0.2,V,0.5,V,40,V,0.2,V
14-06-2014,24:00,83,V,0.2,V,0.5,V,55,V,0.2,V
15-06-2014,24:00,86,V,0.2,V,0.4,V,39,V,0.2,V
16-06-2014,24:00,80,V,0.2,V,0.4,V,21,V,0.2,V
17-06-2014,24:00,88,V,0.2,V,0.3,V,26,V,0.2,V
18-06-2014,24:00,76,V,0.2,V,0.3,V,18,V,0.2,V
19-06-2014,24:00,65,V,0.2,V,0.4,V,14,V,0.2,V
20-06-2014,24:00,59,V,0.2,V,0.6,V,15,V,0.2,V
21-06-2014,24:00,74,V,0.2,V,0.5,V,19,V,0.2,V
22-06-2014,24:00,64,V,0.2,V,0.3,V,17,V,0.2,V
23-06-2014,24:00,61,V,0.2,V,0.6,V,18,V,0.2,V
24-06-2014,24:00,73,V,0.2,V,0.3,V,18,V,0.2,V
25-06-2014,24:00,83,V,0.2,V,0.3,V,27,V,0.2,V
26-06-2014,24:00,85,V,0.2,V,0.3,V,24,V,0.2,V
27-06-2014,24:00,60,V,0.2,V,0.3,V,18,V,0.2,V
28-06-2014,24:00,63,V,0.2,V,0.2,V,15,V,0.2,V
29-06-2014,24:00,43,V,0.2,V,0.2,V,19,V,0.2,V
30-06-2014,24:00,60,V,0.2,V,0.5,V,31,V,0.2,V
01-07-2014,24:00,74,V,0.2,V,0.3,V,31,V,0.2,V
02-07-2014,24:00,62,V,0.2,V,0.3,V,21,V,0.2,V
03-07-2014,24:00,69,V,0.2,V,0.3,V,24,V,0.2,V
04-07-2014,24:00,70,V,0.2,V,0.3,V,23,V,0.2,V
05-07-2014,24:00,81,V,0.2,V,0.3,V,21,V,0.2,V
06-07-2014,24:00,54,V,0.2,V,0.2,V,13,V,0.2,V
07-07-2014,24:00,52,V,0.2,V,0.2,V,21,V,0.2,V
08-07-2014,24:00,76,V,0.2,V,0.2,V,41,V,0.2,V
09-07-2014,24:00,73,V,0.2,V,0.3,V,36,V,0.2,V
10-07-2014,24:00,71,V,0.2,V,0.7,V,26,V,0.2,V
11-07-2014,24:00,64,V,0.2,V,0.6,V,31,V,0.2,V
12-07-2014,24:00,66,V,0.2,V,0.2,V,24,V,0.2,V
13-07-2014,24:00,77,V,0.2,V,0.2,V,31,V,0.2,V
14-07-2014,24:00,69,V,0.2,V,0.3,V,23,V,0.2,V
15-07-2014,24:00,68,V,0.2,V,0.3,V,23,V,0.2,V
16-07-2014,24:00,68,V,0.2,V,0.3,V,22,V,0.2,V
17-07-2014,24:00,72,V,0.2,V,0.3,V,26,V,0.2,V
18-07-2014,24:00,67,V,0.2,V,0.3,V,25,V,0.2,V
19-07-2014,24:00,51,V,0.2,V,0.3,V,12,V,0.2,V
20-07-2014,24:00,59,V,0.2,V,0.2,V,14,V,0.2,V
21-07-2014,24:00,58,V,0.2,V,0.2,V,18,V,0.2,V
22-07-2014,24:00,63,V,0.2,V,0.2,V,20,V,0.2,V
23-07-2014,24:00,47,V,0.2,V,0.2,V,9,V,0.2,V
24-07-2014,24:00,65,V,,N,,N,13,V,,N
25-07-2014,24:00,69,V,0.2,V,0.2,V,16,V,0.2,V
26-07-2014,24:00,62,V,0.2,V,0.2,V,12,V,0.2,V
27-07-2014,24:00,73,V,0.2,V,0.2,V,13,V,0.2,V
28-07-2014,24:00,84,V,0.2,V,0.2,V,15,V,0.2,V
29-07-2014,24:00,90,V,0.2,V,0.3,V,18,V,0.2,V
30-07-2014,24:00,84,V,0.2,V,0.2,V,18,V,0.2,V
31-07-2014,24:00,75,V,0.2,V,0.3,V,17,V,0.2,V
01-08-2014,24:00,67,V,0.2,V,0.3,V,19,V,0.2,V
02-08-2014,24:00,52,V,0.2,V,0.2,V,19,V,0.2,V
03-08-2014,24:00,49,V,0.2,V,0.2,V,11,V,0.2,V
04-08-2014,24:00,54,V,0.2,V,0.3,V,15,V,0.2,V
05-08-2014,24:00,70,V,0.2,V,0.3,V,24,V,0.2,V
06-08-2014,24:00,57,V,0.2,V,0.3,V,26,V,0.2,V
07-08-2014,24:00,49,V,0.2,V,0.3,V,25,V,0.2,V
08-08-2014,24:00,47,V,0.2,V,0.2,V,18,V,0.2,V
09-08-2014,24:00,41,V,0.2,V,0.2,V,12,V,0.2,V
10-08-2014,24:00,40,V,0.2,V,0.2,V,8,V,0.2,V
11-08-2014,24:00,58,V,0.2,V,0.3,V,16,V,0.2,V
12-08-2014,24:00,63,V,0.2,V,0.2,V,22,V,0.2,V
13-08-2014,24:00,47,V,0.2,V,0.2,V,25,V,0.2,V
14-08-2014,24:00,65,V,0.2,V,0.2,V,31,V,0.2,V
15-08-2014,24:00,74,V,0.2,V,0.2,V,33,V,0.2,V
16-08-2014,24:00,71,V,0.2,V,0.2,V,28,V,0.2,V
17-08-2014,24:00,86,V,0.2,V,0.2,V,28,V,0.2,V
18-08-2014,24:00,90,V,0.2,V,0.2,V,24,V,0.2,V
19-08-2014,24:00,82,V,0.2,V,0.4,V,28,V,0.2,V
20-08-2014,24:00,66,V,0.2,V,0.6,V,35,V,0.2,V
21-08-2014,24:00,57,V,0.2,V,0.5,V,25,V,0.2,V
22-08-2014,24:00,55,V,0.2,V,0.2,V,19,V,0.2,V
23-08-2014,24:00,62,V,0.2,V,0.2,V,18,V,0.2,V
24-08-2014,24:00,61,V,0.2,V,0.2,V,21,V,0.2,V
25-08-2014,24:00,71,V,0.2,V,0.3,V,25,V,0.2,V
26-08-2014,24:00,68,V,0.2,V,0.2,V,28,V,0.2,V
27-08-2014,24:00,49,V,0.2,V,0.2,V,36,V,0.2,V
28-08-2014,24:00,49,V,0.2,V,0.6,V,44,V,0.2,V
29-08-2014,24:00,51,V,0.2,V,0.4,V,28,V,0.2,V
30-08-2014,24:00,60,V,0.2,V,0.2,V,18,V,0.2,V
31-08-2014,24:00,43,V,0.2,V,0.2,V,13,V,0.2,V
01-09-2014,24:00,47,V,0.2,V,0.3,V,9,V,0.2,V
02-09-2014,24:00,52,V,,N,,N,,N,,N
03-09-2014,24:00,61,V,0.2,V,0.3,V,8,V,0.2,V
04-09-2014,24:00,53,V,0.2,V,0.3,V,11,V,0.2,V
05-09-2014,24:00,43,V,0.2,V,0.2,V,9,V,0.2,V
06-09-2014,24:00,39,V,0.2,V,0.2,V,11,V,0.2,V
07-09-2014,24:00,54,V,0.2,V,0.2,V,8,V,0.2,V
08-09-2014,24:00,52,V,0.2,V,0.3,V,9,V,0.2,V
09-09-2014,24:00,54,V,0.3,V,0.4,V,9,V,0.2,V
10-09-2014,24:00,58,V,0.2,V,0.4,V,11,V,0.2,V
11-09-2014,24:00,62,V,0.2,V,0.2,V,10,V,0.2,V
12-09-2014,24:00,60,V,0.2,V,0.3,V,9,V,0.2,V
13-09-2014,24:00,52,V,0.2,V,0.2,V,11,V,0.2,V
14-09-2014,24:00,60,V,0.2,V,0.2,V,9,V,0.2,V
15-09-2014,24:00,56,V,0.2,V,0.3,V,9,V,0.2,V
16-09-2014,24:00,57,V,0.3,V,0.4,V,11,V,0.2,V
