Fecha,Hora,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag
10-06-2017,24:00,6,V,7,V,2,V,0.2,V,16,V
11-06-2017,24:00,6,V,7,V,2,V,0.2,V,15,V
12-06-2017,24:00,7,V,9,V,2,V,0.2,V,20,V
13-06-2017,24:00,6,V,9,V,2,V,0.2,V,18,V
14-06-2017,24:00,7,V,10,V,2,V,0.2,V,19,V
15-06-2017,24:00,7,V,10,V,2,V,0.3,V,20,V
16-06-2017,24:00,9,V,13,V,2,V,0.3,V,27,V
17-06-2017,24:00,9,V,13,V,2,V,0.2,V,26,V
18-06-2017,24:00,7,V,10,V,2,V,0.2,V,20,V
19-06-2017,24:00,8,V,13,V,2,V,0.2,V,26,V
20-06-2017,24:00,,N,,N,,N,,N,,N
21-06-2017,24:00,,N,,N,,N,,N,,N
22-06-2017,24:00,7,V,11,V,2,V,0.3,V,21,V
23-06-2017,24:00,11,V,18,V,2,V,0.3,V,35,V
24-06-2017,24:00,8,V,12,V,2,V,0.3,V,23,V
25-06-2017,24:00,7,V,12,V,2,V,0.2,V,23,V
26-06-2017,24:00,7,V,13,V,2,V,0.3,V,23,V
27-06-2017,24:00,7,V,11,V,2,V,0.2,V,22,V
28-06-2017,24:00,7,V,8,V,2,V,0.2,V,19,V
29-06-2017,24:00,7,V,9,V,2,V,0.3,V,19,V
30-06-2017,24:00,7,V,8,V,2,V,0.3,V,18,V
01-07-2017,24:00,6,V,7,V,2,V,0.2,V,17,V
02-07-2017,24:00,6,V,7,V,2,V,0.2,V,16,V
03-07-2017,24:00,,N,,N,,N,,N,,N
04-07-2017,24:00,1,V,2,V,1,V,0.1,V,4,V
05-07-2017,24:00,,N,,N,,N,,N,,N
06-07-2017,24:00,,N,,N,,N,,N,,N
07-07-2017,24:00,,N,,N,,N,,N,,N
08-07-2017,24:00,,N,,N,,N,,N,,N
09-07-2017,24:00,,N,,N,,N,,N,,N
10-07-2017,24:00,,N,,N,,N,,N,,N
11-07-2017,24:00,3,V,10,V,2,V,,N,14,V
12-07-2017,24:00,,N,,N,,N,,N,,N
13-07-2017,24:00,2,V,8,V,2,V,,N,11,V
14-07-2017,24:00,,N,,N,,N,,N,,N
15-07-2017,24:00,1,V,5,V,1,V,0.3,V,7,V
16-07-2017,24:00,3,V,12,V,2,V,0.2,V,17,V
17-07-2017,24:00,1,V,4,V,2,V,0.2,V,5,V
18-07-2017,24:00,1,V,1,V,2,V,0.2,V,3,V
19-07-2017,24:00,1,V,1,V,1,V,0.2,V,3,V
