Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag
11-09-2013,24:00,5,V,316,V,1.7,V,63,V,0,V
12-09-2013,24:00,5,V,22,V,1.5,V,70,V,0,V
13-09-2013,24:00,5,V,22,V,2.1,V,69,V,0,V
14-09-2013,24:00,6,V,334,V,2.5,V,64,V,0,V
15-09-2013,24:00,8,V,316,V,2.5,V,61,V,0,V
16-09-2013,24:00,7,V,158,V,2.5,V,65,V,0,V
17-09-2013,24:00,6,V,22,V,2,V,66,V,0,V
18-09-2013,24:00,6,V,22,V,2.5,V,68,V,0,V
19-09-2013,24:00,5,V,335,V,1.8,V,61,V,0,V
20-09-2013,24:00,5,V,22,V,2.6,V,57,V,0,V
21-09-2013,24:00,5,V,316,V,1,V,60,V,0,V
22-09-2013,24:00,6,V,335,V,2.5,V,61,V,0,V
23-09-2013,24:00,6,V,335,V,2,V,60,V,0,V
24-09-2013,24:00,5,V,335,V,1.5,V,62,V,0,V
25-09-2013,24:00,4,V,158,V,1.6,V,68,V,0,V
26-09-2013,24:00,2,V,158,V,3.9,V,72,V,0,V
27-09-2013,24:00,2,V,158,V,2.7,V,70,V,0,V
28-09-2013,24:00,2,V,158,V,1.8,V,72,V,0,V
29-09-2013,24:00,1,V,334,V,1.7,V,69,V,0,V
30-09-2013,24:00,1,V,334,V,0.5,V,67,V,0,V
01-10-2013,24:00,1,V,335,V,1.2,V,65,V,0,V
02-10-2013,24:00,1,V,293,V,1.1,V,66,V,0,V
03-10-2013,24:00,2,V,336,V,1.5,V,62,V,0,V
04-10-2013,24:00,2,V,24,V,2.2,V,67,V,0,V
05-10-2013,24:00,2,V,23,V,2.2,V,70,V,0,V
06-10-2013,24:00,3,V,23,V,3,V,70,V,0,V
07-10-2013,24:00,2,V,335,V,2.6,V,58,V,0,V
08-10-2013,24:00,3,V,335,V,2.7,V,57,V,0,V
09-10-2013,24:00,6,V,335,V,3.2,V,63,V,0,V
10-10-2013,24:00,5,V,334,V,2.5,V,63,V,0,V
11-10-2013,24:00,5,V,335,V,1.2,V,69,V,0,V
12-10-2013,24:00,5,V,23,V,2.8,V,68,V,0,V
13-10-2013,24:00,3,V,23,V,2.5,V,61,V,0,V
14-10-2013,24:00,2,V,22,V,3.1,V,58,V,0,V
15-10-2013,24:00,2,V,22,V,2.9,V,65,V,0,V
16-10-2013,24:00,2,V,22,V,2.9,V,71,V,0,V
17-10-2013,24:00,3,V,335,V,1.8,V,64,V,0,V
18-10-2013,24:00,3,V,136,V,0.4,V,72,V,0,V
19-10-2013,24:00,4,V,44,V,1.5,V,69,V,0,V
