Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
27-08-2011,24:00,2,V,23,V,2.6,V,24.5,V,72,V
28-08-2011,24:00,3,V,23,V,2.9,V,24.5,V,71,V
29-08-2011,24:00,3,V,23,V,3.4,V,24.1,V,68,V
30-08-2011,24:00,2,V,335,V,2.9,V,23.9,V,66,V
31-08-2011,24:00,2,V,336,V,2.3,V,25.8,V,62,V
01-09-2011,24:00,1,V,293,V,1.3,V,25.3,V,72,V
02-09-2011,24:00,2,V,335,V,2.7,V,25.6,V,66,V
03-09-2011,24:00,1,V,335,V,2.8,V,24.2,V,68,V
04-09-2011,24:00,1,V,6,V,3.9,V,25,V,64,V
05-09-2011,24:00,3,V,6,V,4.3,V,24.9,V,67,V
06-09-2011,24:00,6,V,335,V,3,V,25.9,V,68,V
07-09-2011,24:00,9,V,158,V,1.8,V,26.5,V,63,V
08-09-2011,24:00,9,V,179,V,1.5,V,30.7,V,38,V
09-09-2011,24:00,6,V,335,V,2.2,V,29.9,V,40,V
10-09-2011,24:00,2,V,335,V,2.7,V,25,V,68,V
11-09-2011,24:00,2,V,7,V,2.2,V,25,V,76,V
12-09-2011,24:00,2,V,23,V,3.5,V,24.7,V,72,V
13-09-2011,24:00,3,V,43,V,3.8,V,24.9,V,66,V
14-09-2011,24:00,2,V,336,V,2.3,V,24.9,V,62,V
15-09-2011,24:00,3,V,336,V,1.7,V,24.8,V,68,V
16-09-2011,24:00,2,V,336,V,1.8,V,24.5,V,68,V
17-09-2011,24:00,3,V,335,V,2.5,V,24.5,V,67,V
18-09-2011,24:00,4,V,24,V,4.1,V,23.9,V,69,V
19-09-2011,24:00,4,V,20,V,3.6,V,24.2,V,62,V
20-09-2011,24:00,4,V,41,V,3,V,24.3,V,61,V
21-09-2011,24:00,5,V,25,V,2.9,V,24,V,69,V
22-09-2011,24:00,6,V,23,V,2.6,V,24.5,V,74,V
23-09-2011,24:00,4,V,24,V,2.3,V,23.7,V,78,V
24-09-2011,24:00,3,V,23,V,2.9,V,23.6,V,68,V
25-09-2011,24:00,2,V,24,V,2.4,V,24.2,V,66,V
26-09-2011,24:00,2,V,24,V,2,V,24,V,69,V
27-09-2011,24:00,2,V,22,V,2.2,V,24.2,V,68,V
28-09-2011,24:00,3,V,335,V,3,V,24.5,V,68,V
29-09-2011,24:00,6,V,335,V,2.6,V,25,V,72,V
30-09-2011,24:00,7,V,334,V,1.7,V,24.4,V,74,V
01-10-2011,24:00,7,V,135,V,1.1,V,24.9,V,73,V
02-10-2011,24:00,5,V,24,V,1.3,V,24.6,V,77,V
03-10-2011,24:00,12,V,335,V,0.9,V,25.1,V,71,V
04-10-2011,24:00,10,V,23,V,2.8,V,27.8,V,53,V
05-10-2011,24:00,10,V,23,V,2,V,25.7,V,73,V
06-10-2011,24:00,8,V,335,V,2.4,V,24.9,V,65,V
07-10-2011,24:00,9,V,22,V,3.1,V,24.7,V,74,V
08-10-2011,24:00,5,V,22,V,2.7,V,23.8,V,70,V
09-10-2011,24:00,6,V,43,V,1.7,V,23.8,V,71,V
10-10-2011,24:00,10,V,23,V,2,V,25.7,V,67,V
11-10-2011,24:00,9,V,7,V,2.1,V,25.8,V,64,V
12-10-2011,24:00,6,V,23,V,2.5,V,24.4,V,67,V
13-10-2011,24:00,6,V,22,V,2.5,V,23.6,V,73,V
14-10-2011,24:00,6,V,23,V,2.9,V,23.9,V,74,V
15-10-2011,24:00,7,V,23,V,2.4,V,23.5,V,78,V
16-10-2011,24:00,6,V,23,V,2.1,V,23.3,V,79,V
17-10-2011,24:00,6,V,23,V,2,V,23,V,80,V
18-10-2011,24:00,6,V,23,V,2.3,V,24.1,V,72,V
19-10-2011,24:00,6,V,23,V,1.9,V,24,V,74,V
20-10-2011,24:00,8,V,24,V,2.4,V,23.4,V,74,V
21-10-2011,24:00,5,V,334,V,2,V,22.8,V,67,V
22-10-2011,24:00,2,V,334,V,1.6,V,23,V,65,V
23-10-2011,24:00,2,V,158,V,2.1,V,22.7,V,70,V
24-10-2011,24:00,2,V,293,V,1.9,V,23.7,V,66,V
25-10-2011,24:00,3,V,293,V,0.9,V,23,V,73,V
26-10-2011,24:00,2,V,292,V,1.1,V,22.6,V,72,V
27-10-2011,24:00,2,V,23,V,2.9,V,22.9,V,74,V
28-10-2011,24:00,3,V,22,V,3.5,V,22.4,V,53,V
29-10-2011,24:00,3,V,23,V,3.8,V,22.2,V,53,V
30-10-2011,24:00,4,V,335,V,2.4,V,22.1,V,65,V
31-10-2011,24:00,4,V,335,V,2.1,V,22.2,V,68,V
01-11-2011,24:00,4,V,335,V,1.8,V,22.1,V,67,V
02-11-2011,24:00,2,V,293,V,1.2,V,22.2,V,70,V
03-11-2011,24:00,2,V,293,V,1.7,V,22.6,V,71,V
04-11-2011,24:00,4,V,334,V,3.5,V,23,V,59,V
05-11-2011,24:00,3,V,336,V,2.5,V,21.8,V,53,V
06-11-2011,24:00,3,V,23,V,3.9,V,21,V,57,V
07-11-2011,24:00,2,V,336,V,2.6,V,20.9,V,59,V
08-11-2011,24:00,2,V,335,V,1.7,V,20.9,V,70,V
09-11-2011,24:00,2,V,25,V,1.5,V,22.3,V,71,V
10-11-2011,24:00,3,V,24,V,1.5,V,21.7,V,75,V
11-11-2011,24:00,4,V,24,V,1.2,V,21.9,V,76,V
12-11-2011,24:00,9,V,158,V,2.3,V,23.8,V,47,V
13-11-2011,24:00,2,V,336,V,2.1,V,23.3,V,65,V
14-11-2011,24:00,3,V,335,V,1.9,V,21.2,V,69,V
15-11-2011,24:00,3,V,335,V,1.9,V,20.8,V,61,V
16-11-2011,24:00,2,V,334,V,2.1,V,20.7,V,62,V
17-11-2011,24:00,2,V,335,V,2.4,V,20.6,V,70,V
18-11-2011,24:00,2,V,334,V,2.2,V,21.2,V,64,V
19-11-2011,24:00,2,V,293,V,1.7,V,20.6,V,67,V
20-11-2011,24:00,3,V,335,V,3.3,V,20.6,V,58,V
21-11-2011,24:00,3,V,335,V,2.8,V,20.5,V,59,V
22-11-2011,24:00,3,V,335,V,2.4,V,20.1,V,59,V
23-11-2011,24:00,3,V,335,V,2.9,V,19.2,V,59,V
24-11-2011,24:00,3,V,335,V,2.6,V,19.6,V,63,V
25-11-2011,24:00,4,V,23,V,3.5,V,20.4,V,64,V
26-11-2011,24:00,5,V,24,V,3.1,V,20.7,V,66,V
27-11-2011,24:00,5,V,24,V,2.5,V,20.3,V,66,V
28-11-2011,24:00,4,V,24,V,2.8,V,20,V,65,V
29-11-2011,24:00,4,V,24,V,2.1,V,20.2,V,62,V
30-11-2011,24:00,7,V,43,V,1.9,V,20.3,V,73,V
01-12-2011,24:00,4,V,24,V,1.9,V,21.1,V,67,V
02-12-2011,24:00,6,V,24,V,2.7,V,21.5,V,68,V
03-12-2011,24:00,2,V,22,V,4.1,V,19.1,V,66,V
04-12-2011,24:00,3,V,24,V,3.5,V,19.6,V,59,V
05-12-2011,24:00,7,V,24,V,2.5,V,19.3,V,66,V
06-12-2011,24:00,5,V,24,V,2.3,V,19.2,V,66,V
07-12-2011,24:00,13,V,23,V,1.7,V,20.3,V,71,V
08-12-2011,24:00,10,V,23,V,2.1,V,21.7,V,59,V
09-12-2011,24:00,8,V,22,V,2.6,V,21.6,V,64,V
10-12-2011,24:00,6,V,23,V,3,V,19.8,V,81,V
11-12-2011,24:00,2,V,24,V,2.6,V,19.5,V,73,V
12-12-2011,24:00,1,V,23,V,3,V,19.6,V,70,V
13-12-2011,24:00,3,V,22,V,2.6,V,19.3,V,69,V
14-12-2011,24:00,3,V,23,V,3.2,V,19.2,V,67,V
15-12-2011,24:00,2,V,23,V,3.7,V,19.7,V,68,V
16-12-2011,24:00,5,V,23,V,3.1,V,19.6,V,73,V
17-12-2011,24:00,3,V,22,V,3.6,V,19.1,V,66,V
18-12-2011,24:00,4,V,22,V,4.3,V,20,V,63,V
19-12-2011,24:00,3,V,22,V,4,V,19.3,V,73,V
20-12-2011,24:00,6,V,23,V,3,V,19.6,V,72,V
21-12-2011,24:00,6,V,24,V,1.9,V,19,V,78,V
22-12-2011,24:00,6,V,24,V,1.9,V,18.9,V,70,V
23-12-2011,24:00,5,V,24,V,2.5,V,19.1,V,69,V
24-12-2011,24:00,4,V,23,V,3,V,19.2,V,63,V
25-12-2011,24:00,5,V,24,V,2.4,V,18.9,V,63,V
26-12-2011,24:00,6,V,333,V,1.5,V,18.6,V,71,V
27-12-2011,24:00,6,V,43,V,1.9,V,18.5,V,72,V
28-12-2011,24:00,3,V,24,V,3,V,18.3,V,63,V
29-12-2011,24:00,7,V,23,V,3,V,18.8,V,63,V
30-12-2011,24:00,4,V,24,V,3.3,V,18,V,62,V
31-12-2011,24:00,5,V,25,V,2.5,V,18.5,V,64,V
